fixture_id,theme_id,expected,rank,semantic_score,lexical_score,combined_score,coverage,delta_from_best,ratio_to_best,segment_support_count,segment_count
economics_trade,economics,1,1,0.646671,0.500000,0.610003,1.000000,0.000000,1.000000,1,1
economics_trade,everyday,0,2,0.484013,0.166667,0.404676,1.000000,0.205327,0.663400,1,1
economics_trade,politics,0,3,0.449358,0.166667,0.378685,1.000000,0.231318,0.620792,1,1
economics_trade,law,0,4,0.415312,0.166667,0.353151,0.000000,0.256852,0.578933,0,1
economics_trade,science,0,5,0.460042,0.000000,0.345031,1.000000,0.264972,0.565622,1,1
economics_trade,medicine,0,6,0.459135,0.000000,0.344351,1.000000,0.265652,0.564507,1,1
economics_trade,military,0,7,0.454390,0.000000,0.340792,1.000000,0.269211,0.558673,1,1
economics_trade,it,0,8,0.440327,0.000000,0.330245,1.000000,0.279758,0.541383,1,1
economics_trade,sports,0,9,0.434991,0.000000,0.326243,1.000000,0.283760,0.534822,1,1
economics_trade,religion,0,10,0.375125,0.000000,0.281344,0.000000,0.328659,0.461217,0,1
military_defense,military,1,1,0.686693,0.833333,0.723353,1.000000,0.000000,1.000000,1,1
military_defense,sports,0,2,0.609069,0.000000,0.456802,1.000000,0.266551,0.631506,1,1
military_defense,law,0,3,0.489711,0.166667,0.408950,1.000000,0.314403,0.565353,1,1
military_defense,medicine,0,4,0.509400,0.000000,0.382050,1.000000,0.341303,0.528165,1,1
military_defense,politics,0,5,0.507533,0.000000,0.380650,1.000000,0.342703,0.526230,1,1
military_defense,it,0,6,0.503100,0.000000,0.377325,1.000000,0.346028,0.521633,1,1
military_defense,science,0,7,0.500269,0.000000,0.375202,1.000000,0.348151,0.518698,1,1
military_defense,economics,0,8,0.429413,0.166667,0.363726,1.000000,0.359627,0.502833,1,1
military_defense,religion,0,9,0.463280,0.000000,0.347460,1.000000,0.375893,0.480346,1,1
military_defense,everyday,0,10,0.448504,0.000000,0.336378,1.000000,0.386975,0.465026,1,1
military_training,military,1,1,0.672984,0.500000,0.629738,1.000000,0.000000,1.000000,1,1
military_training,sports,0,2,0.589916,0.333333,0.525770,1.000000,0.103968,0.834903,1,1
military_training,it,0,3,0.511434,0.000000,0.383576,1.000000,0.246162,0.609104,1,1
military_training,medicine,0,4,0.507440,0.000000,0.380580,1.000000,0.249158,0.604347,1,1
military_training,science,0,5,0.502609,0.000000,0.376957,1.000000,0.252781,0.598593,1,1
military_training,law,0,6,0.489576,0.000000,0.367182,1.000000,0.262556,0.583071,1,1
military_training,politics,0,7,0.485663,0.000000,0.364247,1.000000,0.265491,0.578410,1,1
military_training,everyday,0,8,0.476176,0.000000,0.357132,1.000000,0.272606,0.567112,1,1
military_training,religion,0,9,0.447479,0.000000,0.335609,1.000000,0.294129,0.532934,1,1
military_training,economics,0,10,0.443488,0.000000,0.332616,1.000000,0.297122,0.528182,1,1
military_logistics,military,1,1,0.704384,0.500000,0.653288,1.000000,0.000000,1.000000,1,1
military_logistics,sports,0,2,0.582814,0.000000,0.437111,1.000000,0.216177,0.669094,1,1
military_logistics,medicine,0,3,0.509214,0.166667,0.423577,1.000000,0.229711,0.648377,1,1
military_logistics,politics,0,4,0.501186,0.166667,0.417556,1.000000,0.235732,0.639161,1,1
military_logistics,it,0,5,0.505564,0.000000,0.379173,1.000000,0.274115,0.580407,1,1
military_logistics,economics,0,6,0.491116,0.000000,0.368337,1.000000,0.284951,0.563820,1,1
military_logistics,everyday,0,7,0.470987,0.000000,0.353240,1.000000,0.300048,0.540711,1,1
military_logistics,science,0,8,0.465356,0.000000,0.349017,1.000000,0.304271,0.534247,1,1
military_logistics,law,0,9,0.455547,0.000000,0.341660,1.000000,0.311628,0.522985,1,1
military_logistics,religion,0,10,0.441503,0.000000,0.331127,1.000000,0.322161,0.506862,1,1
military_evacuation,military,1,1,0.637989,0.666667,0.645158,1.000000,0.000000,1.000000,1,1
military_evacuation,sports,0,2,0.545334,0.166667,0.450667,1.000000,0.194491,0.698537,1,1
military_evacuation,medicine,1,3,0.588481,0.000000,0.441361,1.000000,0.203797,0.684113,1,1
military_evacuation,politics,0,4,0.451112,0.166667,0.380001,1.000000,0.265157,0.589005,1,1
military_evacuation,religion,0,5,0.475512,0.000000,0.356634,1.000000,0.288524,0.552786,1,1
military_evacuation,it,0,6,0.450315,0.000000,0.337736,1.000000,0.307422,0.523493,1,1
military_evacuation,everyday,0,7,0.449944,0.000000,0.337458,1.000000,0.307700,0.523063,1,1
military_evacuation,science,0,8,0.436578,0.000000,0.327434,1.000000,0.317724,0.507525,1,1
military_evacuation,law,0,9,0.427933,0.000000,0.320950,1.000000,0.324208,0.497475,1,1
military_evacuation,economics,0,10,0.403740,0.000000,0.302805,0.000000,0.342353,0.469350,0,1
science_experiment,science,1,1,0.710666,0.166667,0.574666,1.000000,0.000000,1.000000,1,1
science_experiment,medicine,0,2,0.658096,0.000000,0.493572,1.000000,0.081094,0.858885,1,1
science_experiment,military,0,3,0.519747,0.166667,0.431477,1.000000,0.143189,0.750831,1,1
science_experiment,it,0,4,0.573245,0.000000,0.429934,1.000000,0.144732,0.748146,1,1
science_experiment,sports,0,5,0.496869,0.166667,0.414319,1.000000,0.160347,0.720974,1,1
science_experiment,politics,0,6,0.456573,0.166667,0.384096,1.000000,0.190570,0.668381,1,1
science_experiment,law,0,7,0.508932,0.000000,0.381699,1.000000,0.192967,0.664210,1,1
science_experiment,economics,0,8,0.459022,0.000000,0.344266,1.000000,0.230400,0.599071,1,1
science_experiment,religion,0,9,0.434347,0.000000,0.325760,1.000000,0.248906,0.566868,1,1
science_experiment,everyday,0,10,0.393434,0.000000,0.295075,0.000000,0.279591,0.513472,0,1
science_article,science,1,1,0.716207,0.166667,0.578822,1.000000,0.000000,1.000000,1,1
science_article,medicine,0,2,0.565307,0.166667,0.465647,1.000000,0.113175,0.804474,1,1
science_article,it,0,3,0.563688,0.000000,0.422766,1.000000,0.156056,0.730390,1,1
science_article,law,0,4,0.560844,0.000000,0.420633,1.000000,0.158189,0.726705,1,1
science_article,sports,0,5,0.464273,0.166667,0.389872,1.000000,0.188950,0.673561,1,1
science_article,military,0,6,0.501137,0.000000,0.375853,1.000000,0.202969,0.649341,1,1
science_article,politics,0,7,0.492602,0.000000,0.369451,1.000000,0.209371,0.638281,1,1
science_article,economics,0,8,0.481518,0.000000,0.361139,1.000000,0.217683,0.623921,1,1
science_article,religion,0,9,0.476308,0.000000,0.357231,1.000000,0.221591,0.617169,1,1
science_article,everyday,0,10,0.405493,0.000000,0.304120,0.000000,0.274702,0.525412,0,1
science_biology,science,1,1,0.682429,0.333333,0.595155,1.000000,0.000000,1.000000,1,1
science_biology,medicine,0,2,0.630637,0.000000,0.472978,1.000000,0.122177,0.794714,1,1
science_biology,it,0,3,0.535988,0.000000,0.401991,1.000000,0.193164,0.675439,1,1
science_biology,sports,0,4,0.456916,0.166667,0.384354,1.000000,0.210801,0.645805,1,1
science_biology,law,0,5,0.456460,0.166667,0.384012,1.000000,0.211143,0.645230,1,1
science_biology,military,0,6,0.488815,0.000000,0.366611,1.000000,0.228544,0.615992,1,1
science_biology,economics,0,7,0.465342,0.000000,0.349006,1.000000,0.246149,0.586412,1,1
science_biology,politics,0,8,0.450123,0.000000,0.337592,1.000000,0.257563,0.567234,1,1
science_biology,religion,0,9,0.447941,0.000000,0.335956,1.000000,0.259199,0.564485,1,1
science_biology,everyday,0,10,0.398067,0.000000,0.298550,0.000000,0.296605,0.501634,0,1
science_linguistics,science,1,1,0.612454,0.166667,0.501007,1.000000,0.000000,1.000000,1,1
science_linguistics,it,0,2,0.524743,0.166667,0.435224,1.000000,0.065783,0.868698,1,1
science_linguistics,law,0,3,0.493655,0.166667,0.411908,1.000000,0.089099,0.822160,1,1
science_linguistics,religion,0,4,0.498517,0.000000,0.373888,1.000000,0.127119,0.746273,1,1
science_linguistics,sports,0,5,0.459608,0.000000,0.344706,1.000000,0.156301,0.688026,1,1
science_linguistics,everyday,0,6,0.449227,0.000000,0.336920,1.000000,0.164087,0.672486,1,1
science_linguistics,medicine,0,7,0.442594,0.000000,0.331946,1.000000,0.169061,0.662558,1,1
science_linguistics,military,0,8,0.440498,0.000000,0.330373,1.000000,0.170634,0.659418,1,1
science_linguistics,politics,0,9,0.438292,0.000000,0.328719,1.000000,0.172288,0.656117,1,1
science_linguistics,economics,0,10,0.433705,0.000000,0.325279,1.000000,0.175728,0.649250,1,1
religion_service,religion,1,1,0.728647,0.166667,0.588152,1.000000,0.000000,1.000000,1,1
religion_service,everyday,0,2,0.423288,0.166667,0.359133,1.000000,0.229019,0.610613,1,1
religion_service,sports,0,3,0.342010,0.333333,0.339841,1.000000,0.248311,0.577812,1,1
religion_service,medicine,0,4,0.420468,0.000000,0.315351,1.000000,0.272801,0.536173,1,1
religion_service,law,0,5,0.367973,0.000000,0.275980,0.000000,0.312172,0.469232,0,1
religion_service,military,0,6,0.361170,0.000000,0.270877,0.000000,0.317275,0.460556,0,1
religion_service,science,0,7,0.357670,0.000000,0.268253,0.000000,0.319899,0.456095,0,1
religion_service,it,0,8,0.356734,0.000000,0.267551,0.000000,0.320601,0.454901,0,1
religion_service,politics,0,9,0.351050,0.000000,0.263288,0.000000,0.324864,0.447653,0,1
religion_service,economics,0,10,0.339139,0.000000,0.254354,0.000000,0.333798,0.432463,0,1
religion_pilgrimage,religion,1,1,0.715997,0.166667,0.578665,1.000000,0.000000,1.000000,1,1
religion_pilgrimage,everyday,0,2,0.498558,0.000000,0.373918,1.000000,0.204747,0.646174,1,1
religion_pilgrimage,science,0,3,0.482850,0.000000,0.362138,1.000000,0.216527,0.625816,1,1
religion_pilgrimage,politics,0,4,0.461003,0.000000,0.345752,1.000000,0.232913,0.597499,1,1
religion_pilgrimage,medicine,0,5,0.425060,0.000000,0.318795,1.000000,0.259870,0.550915,1,1
religion_pilgrimage,military,0,6,0.422743,0.000000,0.317057,1.000000,0.261608,0.547911,1,1
religion_pilgrimage,it,0,7,0.412611,0.000000,0.309458,0.000000,0.269207,0.534779,0,1
religion_pilgrimage,economics,0,8,0.410133,0.000000,0.307600,0.000000,0.271065,0.531568,0,1
religion_pilgrimage,law,0,9,0.400308,0.000000,0.300231,0.000000,0.278434,0.518834,0,1
religion_pilgrimage,sports,0,10,0.373629,0.000000,0.280222,0.000000,0.298443,0.484256,0,1
religion_ethics,religion,1,1,0.623377,0.166667,0.509199,1.000000,0.000000,1.000000,1,1
religion_ethics,law,0,2,0.525176,0.166667,0.435549,1.000000,0.073650,0.855361,1,1
religion_ethics,politics,0,3,0.555587,0.000000,0.416690,1.000000,0.092509,0.818324,1,1
religion_ethics,everyday,0,4,0.534109,0.000000,0.400582,1.000000,0.108617,0.786690,1,1
religion_ethics,medicine,0,5,0.509711,0.000000,0.382283,1.000000,0.126916,0.750754,1,1
religion_ethics,military,0,6,0.505971,0.000000,0.379478,1.000000,0.129721,0.745245,1,1
religion_ethics,science,0,7,0.484515,0.000000,0.363386,1.000000,0.145813,0.713642,1,1
religion_ethics,economics,0,8,0.481417,0.000000,0.361063,1.000000,0.148136,0.709080,1,1
religion_ethics,sports,0,9,0.480962,0.000000,0.360722,1.000000,0.148477,0.708411,1,1
religion_ethics,it,0,10,0.454275,0.000000,0.340706,1.000000,0.168493,0.669102,1,1
religion_holiday,religion,1,1,0.668879,0.333333,0.584993,1.000000,0.000000,1.000000,1,1
religion_holiday,everyday,0,2,0.504966,0.166667,0.420391,1.000000,0.164602,0.718626,1,1
religion_holiday,politics,0,3,0.458835,0.000000,0.344126,1.000000,0.240867,0.588257,1,1
religion_holiday,medicine,0,4,0.446489,0.000000,0.334867,1.000000,0.250126,0.572429,1,1
religion_holiday,economics,0,5,0.440173,0.000000,0.330130,1.000000,0.254863,0.564332,1,1
religion_holiday,military,0,6,0.437789,0.000000,0.328342,1.000000,0.256651,0.561275,1,1
religion_holiday,sports,0,7,0.435789,0.000000,0.326842,1.000000,0.258151,0.558711,1,1
